CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
EST,0.001821078989301161,0.0002935995302407516,0.0019940179461615157,0.0,0.01935483870967742
ETH,0.007284315957204644,0.009688784497944804,0.0,0.0027231668437832095,0.3266359447004608
FRO,0.0009105394946505805,0.0011743981209630064,0.0,0.0,0.0
FJI,0.0027316184839517414,0.0017615971814445098,0.0019940179461615157,0.00431721572794899,0.022672811059907833
FIN,0.002048713862963806,0.0005871990604815032,0.03290129611166501,0.00013283740701381508,0.08092165898617511
FRA,0.0029592533576143867,0.0026423957721667646,0.019940179461615155,0.002324654622741764,0.19760368663594471
PYF,0.007284315957204644,0.0,0.0,0.003121679064824655,0.018064516129032256
GAB,0.0013658092419758707,0.005871990604815032,0.0039880358923230315,0.010759829968119023,0.09880184331797236
GMB,0.0027316184839517414,0.0026423957721667646,0.004985044865403789,0.00033209351753453773,0.03096774193548387
GEO,0.0034145231049396768,0.0026423957721667646,0.0,0.004051540913921361,0.034101382488479264
DEU,0.002503983610289096,0.001467997651203758,0.40079760717846463,0.0011291179596174283,0.3614746543778802
GHA,0.004552697473252903,0.005871990604815032,0.0,0.007903825717321998,0.26949308755760365
GIB,0.0011381743683132257,0.0011743981209630064,0.02567111434553914,0.0,0.14904349978940365
GRC,0.003642157978602322,0.0032295948326482677,0.0039880358923230315,0.003918703506907545,0.1784331797235023
GRL,0.0006829046209879354,0.0026423957721667646,0.3639082751744766,6.641870350690754e-05,0.7528110599078341
GRD,0.00022763487366264513,0.0011743981209630064,0.0,0.00019925611052072262,0.030599078341013823
GUM,0.0031868882312770315,0.0005871990604815032,0.004985044865403789,0.00026567481402763017,0.4753917050691244
GTM,0.0031868882312770315,0.004403992953611274,0.002991026919242273,0.00677470775770457,0.47797235023041473
GIN,0.004325062599590257,0.007339988256018791,0.0,0.002922422954303932,0.12516129032258064
GNB,0.0022763487366264513,0.004110393423370522,0.02691924227318046,0.00033209351753453773,0.15336405529953917
GUY,0.0031868882312770315,0.0032295948326482677,0.0,0.0017268862911795962,0.005898617511520737
HTI,0.0031868882312770315,0.001467997651203758,0.0,0.002789585547290117,0.005714285714285714
HND,0.002503983610289096,0.002055196711685261,0.021934197407776673,0.008169500531349629,0.24829493087557605
HKG,0.004552697473252903,0.0008807985907222549,0.0,0.000597768331562168,0.7581566820276499
HUN,0.0029592533576143867,0.0008807985907222549,0.0,0.0006641870350690755,0.1128110599078341
ISL,0.0009105394946505805,0.0017615971814445098,0.0,0.0,0.05105990783410138
