CountryCode,EN.ATM.CO2E.KT,EN.ATM.METH.EG.ZS,EN.ATM.HFCG.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.ATM.GHGO.KT.CE,EN.ATM.PFCG.KT.CE,EN.ATM.PM25.MC.M3,EN.ATM.SF6G.KT.CE,EN.ATM.GHGT.KT.CE
SAS,0.05449143120156583,0.1647145324333826,0.020058984133420936,0.11607271481215181,0.09541449488060841,0.020378061106260236,0.027589514852408823,0.4673327541560023,0.04338856607385828,0.06326553512965506
TSA,0.05449143120156583,0.1647145324333826,0.020058984133420936,0.11607271481215181,0.09541449488060841,0.020378061106260236,0.027589514852408823,0.4673327541560023,0.04338856607385828,0.06326553512965506
SSF,0.02065976071160094,0.25103490603007966,0.030104983504620035,0.10455265217112039,0.17377941180924328,0.3938469538581034,0.03358187114396422,0.27516658672653455,0.0334466436583965,0.0851592232003615
SSA,0.02064752661006949,0.2510388065324336,0.030104983504620035,0.1045496983149454,0.17377238500786457,0.3938469538581034,0.03358187114396422,0.2751850356226434,0.0334466436583965,0.08514326707855481
TSS,0.02065976071160094,0.25103490603007966,0.030104983504620035,0.10455265217112039,0.17377941180924328,0.3938469538581034,0.03358187114396422,0.27516658672653455,0.0334466436583965,0.0851592232003615
UMC,0.4090187927119816,0.4302535458907952,0.32226136763453067,0.4630123785720197,0.38222288302597107,0.353804558180309,0.5329392750263455,0.2952636258394545,0.4861154985585384,0.3915159407430345
WLD,0.9262303324434635,0.35283798704053054,1.0,0.9752589325084461,0.9781711476106367,0.9119916810378484,1.0,0.29140779491588364,1.0,0.9511419790817778
AFG,0.00023409439209481404,0.0778860503998963,0.030104983504620035,0.0016837020127224778,0.0010643088401472503,4.504843068306613e-05,0.03358187114396422,0.32714195886325925,0.0334466436583965,0.00033235744081398436
ALB,0.0001271435948395327,0.22434092679997178,0.0001258471347671818,0.00032347747302152697,0.00035626666015505735,1.9754007919593005e-05,0.0,0.09090946896423861,0.0,0.0001589037623206831
DZA,0.0032977172296009367,0.8116991513510613,0.00032959963867595227,0.005936499233417937,0.0019839555834268007,0.0001301205203883015,0.0,0.1772445991091161,0.0024356025327117127,0.003132537899431683
ASM,0.030875270618555058,4.080147871818126e-05,0.030104983504620035,1.6044289002383126e-06,7.363838409216378e-06,2.6333916334769022e-17,0.03358187114396422,0.0008102302783375309,0.0334466436583965,1.0307478861205726e-06
AND,1.4205988250227119e-05,0.255375255449984,0.030104983504620035,0.03863060306696951,4.975935766553447e-09,0.040511951510567,0.03358187114396422,0.05732415256576125,0.0334466436583965,0.03375753503199711
