CountryCode,SH.DTH.COMM.ZS,SH.MLR.INCD.P3,SH.TBS.INCD,SP.DYN.LE00.IN
CHI,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.7587815376545127
CHL,0.12258064516129032,0.05543812200639853,0.01780185758513932,0.5221970387843167
CHN,0.10064516129032257,5.743825387708214e-05,0.08436532507739938,0.2836868265503427
COL,0.15225806451612903,0.03388856978747846,0.02786377708978328,0.5125266273874063
COM,0.712258064516129,0.16128661688684665,0.03018575851393189,0.24237156087178321
COD,0.9019354838709677,0.29207352096496264,0.2530959752321981,0.23486542007211067
COG,0.8219354838709677,0.20884549109707065,0.2755417956656347,0.3686326140954969
CRI,0.09935483870967741,0.0016657093624353819,0.014705882352941176,0.580788075761981
CIV,0.8554838709677419,0.3017805858701895,0.28405572755417957,0.16154207191918146
HRV,0.025806451612903226,0.05543812200639853,0.032507739938080496,0.6521097863683313
CUB,0.09806451612903225,0.05543812200639853,0.009287925696594427,0.6396582203889224
CUW,0.3237034303778456,0.05543812200639853,0.003018575851393189,0.8796429147638886
CYP,0.03096774193548387,0.05543812200639853,0.0030959752321981426,0.7402836458447474
CZE,0.021935483870967745,0.05543812200639853,0.01238390092879257,0.7536346545579105
DNK,0.03096774193548387,0.05543812200639853,0.010061919504643963,0.7859628264847716
DJI,0.7574193548387097,0.032912119471568066,0.531733746130031,0.2879830136896473
DMA,0.3237034303778456,0.05543812200639853,0.007739938080495356,0.4477053189829093
DOM,0.3638709677419355,0.0004595060310166571,0.07739938080495357,0.4263651901426249
ECU,0.28258064516129033,0.016771970132107985,0.07662538699690402,0.4505914752672662
EGY,0.2103225806451613,0.05543812200639853,0.020123839009287926,0.3585968175688564
SLV,0.2206451612903226,0.0008041355542791499,0.021671826625386997,0.39280713273186435
GNQ,0.7290322580645161,0.2094198736358415,0.07430340557275542,0.1590771243025543
ERI,0.432258064516129,0.013325674899483055,0.1369969040247678,0.18863492633197287
EST,0.021935483870967745,0.05543812200639853,0.04721362229102167,0.7103746944698727
ETH,0.8761290322580644,0.38041355542791494,0.3258513931888545,0.18866124096351292
FRO,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.8556146364568953
FJI,0.16774193548387098,0.05543812200639853,0.017027863777089782,0.49911522443792466
FIN,0.07096774193548387,0.05543812200639853,0.009287925696594427,0.7265909783089792
FRA,0.06580645161290322,0.05543812200639853,0.009287925696594427,0.7451363227329942
PYF,0.3237034303778456,0.05543812200639853,0.02321981424148607,0.5061645259785807
GAB,0.7200000000000001,0.2060310166570936,0.39860681114551083,0.20925610693576013
GMB,0.7961290322580645,0.19333716255025848,0.14318885448916407,0.07611097354646136
GEO,0.04516129032258065,0.006490522688110282,0.19659442724458204,0.6312957755957248
DEU,0.03354838709677419,0.05543812200639853,0.010061919504643963,0.7352622964822083
GHA,0.7806451612903226,0.2803561171740379,0.16718266253869968,0.3199997239120635
GIB,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.4477053189829093
GRC,0.03354838709677419,0.05543812200639853,0.005727554179566564,0.7149909710616705
GRL,0.3237034303778456,0.05543812200639853,0.14396284829721362,0.6316124139489984
GRD,0.17161290322580644,0.05543812200639853,0.0,0.5673412990455123
GUM,0.3237034303778456,0.05543812200639853,0.030959752321981424,0.5922871383571555
GTM,0.5432258064516129,0.009477311889718553,0.023993808049535603,0.3353873125513899
GIN,0.9135483870967741,0.27093624353819645,0.17647058823529413,0.1264154899137304
GNB,0.8696774193548386,0.24905226881102815,0.23606811145510836,0.17866340652827106
GUY,0.3509677419354839,0.06283744974152786,0.05495356037151703,0.5755268750037751
HTI,0.6361290322580646,0.01154508902929351,0.2089783281733746,0.2540034907868591
HND,0.42838709677419357,0.02176909821941413,0.08823529411764706,0.3280800413441681
HKG,0.3237034303778456,0.05543812200639853,0.07894736842105263,0.693727454615889
HUN,0.0064516129032258064,0.05543812200639853,0.027089783281733747,0.7121481280806451
ISL,0.05806451612903226,0.05543812200639853,0.004102167182662538,0.8080110366152998
IND,0.5458064516129033,0.024526134405514075,0.2236842105263158,0.23754433584027024
IDN,0.3716129032258065,0.05686387133831131,0.3475232198142415,0.36967959132083
IRN,0.15741935483870967,0.022917863296955773,0.017027863777089782,0.30433000791164583
IRQ,0.33548387096774196,0.0007466973004020679,0.03869969040247678,0.35889706320084336
IRL,0.10580645161290321,0.05543812200639853,0.009287925696594427,0.7438667496080856
IMN,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.4477053189829093
ISR,0.06838709677419355,0.05543812200639853,0.007739938080495356,0.768927337968736
ITA,0.025806451612903226,0.05543812200639853,0.005417956656346749,0.7319703792154103
JAM,0.2219354838709678,0.05543812200639853,0.004721362229102167,0.6467933680226323
JPN,0.1367741935483871,0.05543812200639853,0.02786377708978328,0.7061863541811361
JOR,0.2129032258064516,0.05543812200639853,0.006191950464396285,0.441222172277147
KAZ,0.1032258064516129,0.05543812200639853,0.1369969040247678,0.5417246523233239
KEN,0.9329032258064516,0.1572085008615738,0.22136222910216719,0.32939059627229617
