CountryCode,ER.H2O.FWTL.ZS,SH.H2O.SAFE.ZS,SH.H2O.BASW.ZS,ER.H2O.INTR.PC,ER.GDP.FWTL.M3.KD
VGB,0.011442531644953947,0.9412442396313365,0.9664136817109216,0.024364617139691177,0.03212150030497252
BRN,0.00011881753580757978,0.7777432493169902,0.994031848612432,0.040114772306553005,0.09949339689341606
BGR,0.003043495025962555,0.9953917050691243,0.9959499449066829,0.005422730108034693,0.00565736584454538
BFA,0.0007300833136129515,0.6440092165898617,0.38507418762084394,0.0014230735284320344,0.00854280026211486
BDI,0.000318087177605492,0.6923963133640553,0.4424611139298798,0.0020364196891508846,0.005202881397695187
CPV,0.0008184252457720825,0.8341013824884792,0.7585182962266703,0.001101152793722516,0.053632372482715594
KHM,0.00020036135473338487,0.45737327188940097,0.518382890739956,0.015397020148210828,0.004166712273603501
CMR,3.7299689552143605e-05,0.6186635944700462,0.5044663718172223,0.024429504231370847,0.01955493206030139
CAN,0.00015004878535760323,0.9976958525345622,0.9987990197231924,0.15472302410695146,0.02884689053385719
CYM,0.011442531644953947,0.9423963133640553,0.9534620142737028,0.024364617139691177,0.03212150030497252
CAF,3.4356788120125515e-06,0.5944700460829493,0.43266219671455053,0.059238525679895036,0.012233422749632081
TCD,0.0006539779328677541,0.391705069124424,0.28089378231955725,0.0022273254544902736,0.009604563665247918
CHI,0.011442531644953947,0.7777432493169902,0.9297426538067514,0.024364617139691177,0.03212150030497252
CHL,0.00044573904262137383,0.9619815668202766,0.967420871402999,0.0964548968370698,0.004505597093497469
CHN,0.0023458854832457436,0.8421658986175115,0.8114286033213346,0.003929019147658838,0.0077904905608562535
COL,5.909327951343808e-05,0.8905529953917051,0.9086121767785484,0.08631727764789066,0.01772786965861178
COM,9.094734159004784e-05,0.8859447004608294,0.8248459181731845,0.0031274730296944023,0.03928612674999148
COD,6.181864905151789e-06,0.41244239631336405,0.24160568764706444,0.02461497068462565,0.026978747896133984
COG,0.0,0.673963133640553,0.5165637554302664,0.09039165822014848,0.20699095872111942
CRI,0.00023043425537126345,0.956221198156682,0.9568652594188002,0.04580494704795136,0.011921371119566801
CIV,0.00022329726395955494,0.7603686635944701,0.6652321585374033,0.006768117976695295,0.013105482575669996
HRV,0.00019637547994487916,0.9850230414746544,0.9866750944715226,0.016666086181316035,0.057865951480627155
CUB,0.002040831615666897,0.9089861751152073,0.9256984207053827,0.0063183029446499065,0.006418300052917197
CUW,0.011442531644953947,0.7777432493169902,0.9924667937517284,0.024364617139691177,0.03212150030497252
CYP,0.003668072420733665,1.0,1.0,0.0012964229888660127,0.06465652050204898
CZE,0.001564556429548529,0.9988479262672811,0.9979367172015655,0.002360273365153307,0.07584475392827958
DNK,0.001213874773173603,1.0,1.0,0.002024365998558923,0.33567818308535446
DJI,0.0007065055682056157,0.8352534562211982,0.7066287496293335,0.0006422821674957085,0.04812425901602633
DMA,0.0011168777192826613,0.935483870967742,0.9381495157444049,0.005237256970413509,0.015936990251842795
DOM,0.003405754189003679,0.8444700460829493,0.9081216012335795,0.00436577930843925,0.004962440748254139
ECU,0.0002485894793558349,0.7960829493087557,0.8356913804781797,0.05412673827580643,0.005452204366462446
EGY,0.4849829503983077,0.966589861751152,0.979323046174,3.867088622607676e-05,0.001564612325763077
SLV,0.0015142892423113776,0.8387096774193549,0.8132667751056336,0.0047397267931441915,0.0068971873753178444
GNQ,5.170952808978737e-06,0.3928571428571428,0.3872612542711472,0.047228011697499434,0.6889682957077298
ERI,0.002324011384463842,0.4665898617511521,0.007722409344127835,0.024364617139691177,0.03212150030497252
EST,0.0014338807399272566,0.9907834101382489,0.9916004410063973,0.01812830568155093,0.008594669667073306
ETH,0.0009655109422460466,0.2891705069124424,0.08744273424438088,0.002489728251669952,0.002408310799044469
FRO,0.011442531644953947,0.7777432493169902,1.0,0.024364617139691177,0.03212150030497252
FJI,3.0962837227074526e-05,0.9182027649769586,0.9332420273580284,0.061654840856575695,0.028617603062153205
FIN,0.0006840519008059882,1.0,1.0,0.03728546450090172,0.024835857000361197
FRA,0.0016893468700351396,1.0,0.999300854790857,0.0057464841294264084,0.05960103982243879
PYF,0.011442531644953947,1.0,1.0,0.024364617139691177,0.03212150030497252
GAB,7.173643099391854e-06,0.8605990783410139,0.7892313707605343,0.17611203202422648,0.08551246112873771
GMB,0.00033530530427683435,0.837557603686636,0.7118776620252611,0.0031405668961071304,0.007157050812290116
GEO,0.0003486693699102145,0.9193548387096774,0.8806432679898158,0.02867085133410218,0.0044861987023846195
DEU,0.003453593230343289,1.0,1.0,0.002509920520544897,0.0717919546869051
GHA,0.00036040412305782867,0.7350230414746544,0.6279442422324886,0.002221381173612013,0.03014207227210319
GIB,0.011442531644953947,0.7777432493169902,0.9954155024315626,0.024364617139691177,0.03212150030497252
GRC,0.0018559335211439894,0.9930875576036867,0.9959007172891312,0.00990680343742314,0.016643961191301418
GRL,0.011442531644953947,1.0,1.0,0.024364617139691177,0.03212150030497252
