CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
CIV,EN.CLC.DRSK.XQ,,,,,,,,2.5,,,,,
CIV,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
HRV,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
HRV,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CUB,EN.CLC.DRSK.XQ,,,,,,,,4.5,,,,,
CUB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CUW,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CUW,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CYP,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CYP,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CZE,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
CZE,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
DNK,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
DNK,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
DJI,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
DJI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
DMA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
DMA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
DOM,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
DOM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ECU,EN.CLC.DRSK.XQ,,,,,,,,4.75,,,,,
ECU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EGY,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EGY,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
SLV,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
SLV,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GNQ,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GNQ,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ERI,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ERI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EST,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EST,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ETH,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ETH,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
FRO,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
FRO,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
FJI,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
FJI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
FIN,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
FIN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
FRA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
FRA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PYF,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
PYF,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GAB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
